Status,Life_expectancy ,Adult_Mortality,Alcohol,Total_expenditure,Hepatitis_B, BMI ,Income_composition_of_resources,Schooling,Population
Developing,55.4,338,8.34,2.31,,21.3,0.592,9.1,868418
Developing,55,339,6.86,2.25,,2.9,0.587,9,829327
Developing,54.8,337,7.28,2.13,,2.5,0.569,9,792217
Developing,54.4,337,7.19,1.63,,2.2,0.563,8.7,757317
Developing,54.1,336,6.28,2.4,,19.8,0.553,8.5,724817
Developing,53.8,334,7.13,2.23,,19.5,0.554,8.4,694611
Developing,53.5,334,6.01,2.5,,19.1,0.542,8.2,66647
Developing,53.1,334,5.07,1.78,,18.7,0.527,8,639762
Developing,52.7,336,4.46,2.73,,18.3,0,0,614323
Developing,64.7,255,,,95,18.6,0.418,5,
Developing,64.4,261,0.01,3.34,94,18,0.416,5,
Developing,64,266,0.01,3.1,94,17.5,0.414,5,
Developing,63.6,274,0.01,2.98,94,17,0.41,5,
Developing,62.9,286,0.62,3.6,96,16.5,0.405,5,447469
Developing,62.1,298,0.61,3.24,9,16,0.404,5.1,43984
Developing,61.4,311,0.63,3.3,92,15.5,0.402,5.2,431334
Developing,67,322,0.49,3.69,94,15.1,0.406,5.2,4232636
Developing,62,329,1.23,3.29,91,14.7,0.405,5.3,4153332
Developing,59.7,336,0.97,3.3,94,14.3,0.405,5.3,466648
Developing,59.4,34,1.07,2.97,96,13.9,0,5.4,39697
Developing,59.1,342,0.64,3.14,84,13.6,0,5,3858623
Developing,58.8,343,0.56,3.5,91,13.3,0,4.7,3738265
Developing,58.5,343,0.83,4.2,86,13.1,0,4.4,3614639
Developing,58.1,345,0.61,3.95,,12.8,0,4.3,3497124
Developing,45.3,593,0.83,4.43,,12.6,0,3.9,339281
Developing,77.6,119,,,91,59.9,0.863,16.5,131547
Developing,77.3,122,0.01,6.38,93,59.4,0.86,16.5,1314545
Developing,76.9,127,0.01,6.48,93,59,0.856,16.5,1317997
Developing,76.3,135,0.01,6.36,94,58.5,0.85,16.5,1322696
Developing,76.1,138,0.01,5.83,94,58,0.838,16.4,1327439
Developing,75.6,137,14.97,6.25,94,57.6,0.833,16.2,1331475
Developing,74.9,156,15.04,6.93,95,57.1,0.836,16.1,1334515
Developing,74.2,167,16.99,6.6,94,56.7,0.835,16.1,13379
Developing,73,189,17.87,5.16,95,56.3,0.829,16.1,13468
Developing,73,188,16.58,5.1,95,55.9,0.822,16.1,134681
Developing,72.8,189,15.52,5.2,95,55.5,0.812,15.9,1354775
Developing,72.3,195,15.07,5.13,9,55.2,0.805,15.7,136255
Developing,71.9,199,11.64,4.92,,54.9,0.798,15.6,13772
Developing,71.2,211,11.48,4.84,,54.6,0.791,15.4,137935
Developing,78,225,0.01,4.85,,54.3,0.781,15,1388115
Developing,78,218,0.01,5.28,,54,0.764,14.4,1396985
Developing,64.8,225,,,77,17.6,0.441,8.4,9987333
Developing,64.2,234,0.01,4.88,77,17.2,0.435,8.4,97366774
Developing,63.7,237,1.86,5.19,72,16.8,0.427,8.4,94887724
Developing,63.3,241,1.84,5.77,69,16.4,0.422,8.4,92444183
Developing,62.6,249,1.32,6.55,65,16,0.411,8.2,946756
Developing,61.8,261,1.34,6.86,62,15.6,0.401,8.1,877267
Developing,68,274,1.17,4.41,56,15.3,0.393,8.1,85416253
Developing,59.8,289,1.13,4.28,52,14.9,0.378,7.6,83184892
Developing,58.5,39,1.06,4.69,47,14.5,0.362,7.1,8149
Developing,57.2,328,1.22,4.47,,14.2,0.346,6.6,7885689
Developing,56,343,0.99,4.2,,13.8,0.325,5.8,7672783
Developing,55,354,0.86,4.23,,13.5,0.31,5.4,7462445
Developing,54,363,0.79,4.64,,13.2,0.306,5.2,72545144
Developing,53.2,369,0.8,4.73,,12.9,0.298,4.9,7497192
Developing,52.5,372,0.85,4.26,,12.6,0.283,4.3,68492257
Developing,51.2,391,0.88,4.36,,12.3,0,3.9,66537331
Developing,69.9,188,,,99,62.7,0.734,15.3,892149
Developing,69.7,19,0.01,4.49,99,61.9,0.727,15.2,88586
Developing,69.6,192,0.01,4.26,99,61.1,0.719,15,879715
Developing,69.4,195,0.01,4.16,99,6.2,0.714,14.9,873596
Developing,69.2,197,0.01,4.6,99,59.5,0.709,14.7,86786
Developing,69.1,2,2.25,4.23,99,58.7,0.706,14.6,85995
Developing,68.9,23,2.31,4.26,99,58,0.704,14.5,851967
Developing,68.7,26,1.95,3.68,99,57.3,0.7,14.3,84334
Developing,68.6,29,2.09,3.74,99,56.6,0.698,14.2,834812
Developing,68.5,211,2.06,3.84,99,55.9,0.695,14,827411
Developing,68.3,214,2.02,3.61,99,55.1,0.699,13.9,821817
Developing,68.1,218,1.63,3.61,99,54.2,0.691,13.4,818354
Developing,68,22,1.76,3.35,99,53.2,0.689,13.3,816628
Developing,67.9,22,1.85,3.48,99,52.2,0.687,13.3,815691
Developing,67.8,221,1.93,3.28,98,51.2,0.683,13.2,814218
Developing,67.7,221,2.05,3.87,98,5.2,0.681,13.1,811223
Developing,81.1,76,,,,62.1,0.893,17,5479531
Developing,89,78,8.8,9.68,,61.7,0.89,17,5461512
Developing,87,79,8.97,9.55,,61.4,0.887,17,5438972
Developing,84,82,9.24,9.3,,61,0.884,17,5413971
Developing,83,86,9.81,9.1,,6.6,0.878,16.9,5388272
Developing,79.9,89,9.72,9.5,,6.2,0.874,16.8,5363352
Developing,79.7,91,9.96,9.2,,59.8,0.878,17,5338871
Developing,79.6,94,10.26,8.35,,59.4,0.876,17.1,5313399
Developing,79.3,96,10.45,8.9,,59,0.873,17.2,528872
Developing,79.2,96,10.15,8.38,,58.6,0.869,17.2,5266268
Developing,78.9,11,9.95,8.43,,58.1,0.864,17.1,524696
Developing,78.7,12,9.89,8.21,,57.6,0.869,18.3,5228172
Developing,78.4,98,9.31,8.15,,57.1,0.866,18.1,521314
Developing,78.1,98,9.25,7.81,,56.6,0.863,18,52598
Developing,78,1,8.94,7.43,,56.1,0.856,17.7,51888
Developing,77.5,15,8.59,7.22,,55.5,0.847,17.3,517629
Developing,82.4,78,,,86,62.5,0.894,16.3,6662468
Developing,82.2,79,11.5,11.54,83,62,0.89,16.2,66331957
Developing,82,81,11.1,11.56,74,61.6,0.887,16.2,6599857
Developing,81.5,83,11.5,11.44,78,61.1,0.885,16.1,6565979
Developing,81.7,83,11.8,11.33,74,6.6,0.882,16.1,65342776
Developing,81.3,86,11.7,11.2,65,6.1,0.879,16,6527512
Developing,81.1,88,11.8,11.28,51,59.6,0.879,16,647744
Developing,89,88,11.9,1.57,47,59.1,0.877,16.1,6437499
Developing,89,89,12.2,1.45,42,58.6,0.873,16.1,6416229
Developing,86,92,12.4,1.53,39,58,0.87,16.1,63621376
Developing,81,93,12.2,1.6,35,57.5,0.86,15.5,63179356
Developing,82,94,13.18,1.53,35,57,0.857,15.5,6274897
Developing,79.3,99,13.49,1.43,28,56.4,0.852,15.4,62244884
Developing,79.2,11,13.78,1.22,29,55.8,0.851,15.5,6185267
Developing,79,13,13.89,9.89,28,55.2,0.849,15.6,61357431
Developing,78.8,13,13.63,9.77,26,54.6,0.844,15.7,6912498
Developing,66,229,,,8,36.3,0.694,12.6,193175
Developing,65.5,237,0.01,3.44,7,35.8,0.687,12.6,1875713
Developing,64.6,255,8.86,3.98,79,35.2,0.678,12.5,1817271
Developing,63.5,276,8.3,3.13,82,34.6,0.669,12.5,1756817
Developing,62.8,289,8.9,3.12,75,34.1,0.664,12.5,169711
Developing,62.3,294,8.85,3.41,67,33.5,0.66,12.5,16421
Developing,61.7,31,8.64,3.43,79,33,0.652,12.4,1586754
Developing,61.6,298,8.75,2.54,82,32.4,0.651,12.4,1536411
Developing,61.6,291,9.02,2.86,75,31.9,0.645,12.4,1489193
Developing,61.4,288,8.01,2.88,52,31.4,0.646,12.4,1444844
Developing,65,37,7.72,2.76,28,3.8,0.64,12.4,143126
Developing,59.7,322,8.13,3.26,,3.3,0.64,12.3,136425
Developing,59.7,32,6.47,3.48,,29.8,0.638,12.3,1328146
Developing,59.7,315,8.34,3.22,,29.2,0.636,12.3,129449
Developing,59.8,37,9.29,3.23,,28.7,0.633,12.3,1262259
Developing,61,296,8.87,2.89,,28.1,0.637,12.2,1231122
Developing,61.1,262,,,97,27.3,0.45,8.9,
Developing,68,266,0.01,7.34,96,26.7,0.449,8.9,
Developing,66,266,0.01,6.49,97,26,0.445,8.9,
Developing,62,269,0.01,6.12,98,25.4,0.44,8.8,
Developing,59.8,277,3.41,6.24,96,24.8,0.441,8.7,
Developing,59.3,284,3.48,5.75,97,24.1,0.439,8.8,
Developing,59,286,2.99,5.85,97,23.5,0.434,8.9,
Developing,58.7,287,2.79,5.95,98,22.8,0.426,8.6,
Developing,58.5,288,2.64,5.76,97,22.2,0.42,8.4,
Developing,58.2,288,2.93,5.52,95,21.5,0.415,8.1,
Developing,57.7,294,2.26,4.97,95,2.9,0.412,7.8,
Developing,57.3,296,2.51,4.35,95,2.3,0.404,7.6,
Developing,57,297,2.47,4.22,94,19.7,0.395,7.3,
Developing,56.6,298,2.08,3.75,92,19.1,0.392,7,
Developing,56.3,3,2.25,3.71,91,18.5,0.384,6.8,
Developing,55.9,33,2.18,3.61,91,18,0.377,6.5,
Developing,74.4,129,,,94,56.2,0.768,13.9,37171
Developing,74.5,125,6.13,7.42,91,55.3,0.759,13.5,3727
Developing,74.5,128,5.91,7.25,96,54.4,0.755,13.5,3776
Developing,74.2,13,7.71,8.57,92,53.6,0.749,13.4,3825
Developing,73.9,127,8.14,9.38,89,52.8,0.742,13.3,3875
Developing,73.8,132,7.24,1.5,95,52,0.738,13.3,3926
Developing,73.2,133,6.66,1.19,54,51.3,0.734,12.8,3978
Developing,73.9,128,7.17,8.99,89,5.5,0.735,13.1,43
Developing,74.4,12,8.65,8.17,94,49.9,0.722,12.5,482
Developing,73.9,126,6.18,8.39,84,49.2,0.714,12.6,4136
Developing,73.9,128,4.7,8.6,79,48.6,0.703,12.2,419
Developing,72.3,134,3.74,8.53,64,48.1,0.694,12,4245
Developing,72.7,132,3.36,8.49,48,47.5,0.684,11.8,431
Developing,71.7,142,2.72,8.72,51,47,0.677,11.8,4357
Developing,73,121,2.76,7.82,61,46.5,0.673,11.7,43864
Developing,71.8,129,3.28,6.94,55,46,0,11.4,44183
Developed,81,68,,,88,62.3,0.924,17.1,81686611
Developed,89,69,11.03,11.3,88,61.9,0.92,17,89825
Developed,86,71,10.94,11.16,88,61.4,0.919,16.9,864565
Developed,86,71,11.18,1.99,88,6.9,0.916,16.9,8425823
Developed,85,74,11.2,1.93,88,6.4,0.912,16.8,8274983
Developed,81,76,11.2,11.25,88,59.9,0.907,16.7,8177693
Developed,80,79,11.22,11.4,88,59.5,0.906,16.7,819237
Developed,79.9,8,11.36,1.39,87,59,0.903,16.6,821197
Developed,79.8,82,11.5,1.18,86,58.5,0.898,16.6,82266372
Developed,79.6,84,11.76,1.34,87,58,0.892,16.5,82376451
Developed,79.2,85,11.67,1.52,9,57.6,0.884,16.4,82469422
Developed,79.1,86,11.83,1.37,88,57.1,0.877,16.4,8251626
Developed,78.5,9,11.92,1.62,9,56.6,0.872,16.3,82534176
Developed,78.4,91,12.25,1.4,87,56.1,0.867,16.3,82488495
Developed,78.3,92,12.46,1.15,86,55.6,0.86,16.2,82349925
Developed,78,95,12.91,1.1,84,55.1,0.855,16.2,8221158
Developing,62.4,249,,,88,28.6,0.575,11.4,27582821
Developing,62.1,253,0.01,3.56,98,28,0.576,11.7,26962563
Developing,61.9,254,0.01,4.63,9,27.3,0.57,11.5,26346251
Developing,61.6,257,0.01,4.79,92,26.7,0.563,11.2,2573349
Developing,61.2,263,1.64,4.81,91,26.1,0.554,10.9,25121796
Developing,69,267,1.69,5.33,94,25.5,0.547,10.5,2451214
Developing,66,271,1.76,5.17,94,24.9,0.542,10.4,2393831
Developing,63,275,1.78,4.85,93,24.2,0.53,9.8,2329864
Developing,59.9,28,1.25,5.3,94,23.6,0.519,9.1,227212
Developing,59.4,288,1.7,4.64,84,23,0.51,8.7,22113425
Developing,58.9,296,1.5,4.51,84,22.4,0.499,8.1,215429
Developing,58.3,34,1.46,3.96,8,21.8,0.491,7.7,2986536
Developing,57.9,38,1.53,3.12,8,21.2,0.489,7.9,2446782
Developing,57.6,31,1.6,3.7,8,2.7,0.484,7.6,19924522
Developing,57.4,39,1.49,3.56,,2.1,0.485,8,1942165
Developing,57.2,38,1.6,3,,19.5,0.48,7.7,18938762
Developing,81,72,,,96,66.5,0.865,17.2,182883
Developing,88,73,7.53,8.8,96,66,0.862,17.2,1892413
Developing,86,74,7.46,9.26,98,65.4,0.86,17.1,1965211
Developing,84,76,8.2,9.24,98,64.9,0.858,16.8,114511
Developing,85,76,8.02,9.77,95,64.3,0.86,16.7,1114899
Developing,83,76,9,9.18,95,63.7,0.859,16.4,11121341
Developing,80,78,9.08,9.76,95,63.1,0.857,16.2,111717
Developing,79.9,77,9.51,9.76,95,62.4,0.853,15.9,1177841
Developing,79.4,8,9.67,9.41,95,61.8,0.855,16.4,1148473
Developing,79.7,77,9.42,9.34,94,61.2,0.85,16.3,112362
Developing,79.3,81,9.95,9.36,93,6.5,0.839,15.6,1987314
Developing,79.2,81,9.56,8.3,92,59.9,0.83,15.3,1955141
Developing,79.1,81,9.46,8.61,92,59.2,0.823,15.2,19287
Developing,79,81,8.09,8.72,91,58.6,0.811,14.6,19222
Developing,78.7,83,8.62,8.47,9,58,0.801,14.2,1862132
Developing,78.2,84,8.48,7.6,89,57.4,0.794,13.9,18588
Developing,73.6,142,,,92,48.4,0.751,15.8,
Developing,73.5,143,8.42,6.1,97,47.4,0.749,15.8,
Developing,73.3,144,8.25,6.15,97,46.5,0.746,15.8,
Developing,73.1,146,8.07,6.36,97,45.6,0.744,15.8,
Developing,72.9,15,7.84,6.35,94,44.7,0.741,15.8,
Developing,72.6,154,7.91,6.41,97,43.9,0,15.8,
Developing,72.4,158,8.42,6.24,99,43.1,0,15.6,
Developing,72.1,162,8.92,5.76,99,42.4,0,15.4,
Developing,71.9,164,9.06,5.88,96,41.8,0,15.3,
Developing,71.7,167,9.06,5.99,91,41.1,0,15.1,
Developing,71.5,169,8.8,5.5,99,4.5,0,14.9,
Developing,73,187,8.43,5.24,83,39.9,0,14.8,
Developing,71.1,173,9.75,5.89,97,39.4,0,14.6,
Developing,79,176,10.71,6.67,98,38.8,0,14.4,
Developing,77,178,9.61,7.67,96,38.2,0,14.3,
Developing,74,182,9.4,6.62,,37.7,0,14.1,
Developing,71.9,186,,,74,5.6,0.637,10.7,16252429
Developing,71.7,187,1.88,6.2,73,49.9,0.614,10.7,15923559
Developing,71.4,189,1.93,6.3,85,49.3,0.611,10.7,15596214
Developing,71.3,189,2.02,6.33,96,48.6,0.616,10.6,1527156
Developing,71.1,193,2.16,6.28,88,47.9,0.609,10.5,14948919
Developing,77,196,2.14,6.64,94,47.2,0.602,10.5,1463417
Developing,76,198,2.14,6.79,92,46.5,0.596,10.4,1431628
Developing,79,19,2.21,6.65,95,45.9,0.589,10.4,146366
Developing,75,192,2.4,6.86,85,45.2,0.578,10.1,137286
Developing,69.7,24,2.38,7.7,89,44.5,0.57,9.8,133978
Developing,69.2,28,2.35,6.79,87,43.8,0.567,9.6,139628
Developing,69.6,21,2.4,6.77,,43.1,0.564,9.3,12796925
Developing,69.4,24,2.45,6.88,,42.4,0.56,9,125478
Developing,69.3,21,2.41,6.71,,41.7,0.553,8.8,1228848
Developing,68.4,211,2.53,6.76,,41.1,0.546,8.5,11924946
Developing,67.7,221,2.63,5.25,,4.4,0.539,8.2,1165743
Developing,59,284,,,54,23.3,0.414,8.8,1291533
Developing,58.1,299,0.01,5.64,51,22.7,0.412,8.6,118559
Developing,58.8,284,0.01,5.49,63,22.2,0.406,8.5,11536615
Developing,58.4,288,0.01,5.39,62,21.7,0.396,8.5,11281469
Developing,58.1,29,0.22,4.73,63,21.2,0.385,8.4,113517
Developing,57.8,291,0.2,4.55,64,2.8,0.38,8.3,179417
Developing,57.3,297,0.18,3.85,57,2.3,0.376,8.1,1556524
Developing,56.8,33,0.21,3.21,57,19.8,0.371,7.9,1323142
Developing,56.4,36,0.19,3.8,57,19.4,0.364,7.6,196727
Developing,55.6,317,0.16,3.2,,19,0.356,7.1,9881428
Developing,54.7,327,0.21,2.82,,18.5,0.346,6.6,9679745
Developing,54,334,0.34,3.14,,18.1,0.325,5.1,949229
Developing,53.3,338,0.18,3.45,,17.7,0.338,5.9,939848
Developing,52.9,337,0.21,3.76,,17.3,0.329,5.5,9137345
Developing,52.5,336,0.17,3.65,,16.9,0.322,5.1,8971139
Developing,52.5,328,0.17,3.46,,16.6,0.316,4.8,888546
Developing,58.9,275,,,87,26.3,0.421,9.2,177526
Developing,58.4,282,0.01,5.59,87,25.6,0.419,9.2,1725744
Developing,58.1,279,0.01,6.14,87,25,0.415,9.1,1681495
Developing,57.6,285,0.01,5.96,87,24.3,0.416,9.1,1638139
Developing,57.1,289,3.57,5.46,86,23.7,0.41,9,1596154
Developing,56.7,287,3.21,6.7,83,23.1,0.405,8.9,155588
Developing,56.3,288,2.55,6.81,8,22.5,0.401,8.9,1517448
Developing,55.6,297,2.64,6.5,,21.9,0.398,8.8,148841
Developing,55,32,2.98,6.1,,21.3,0.394,8.8,1445958
Developing,54.4,36,3.22,5.87,,2.7,0.388,8.3,1412669
Developing,53.9,37,3.1,5.72,,2.1,0,8,138838
Developing,53.5,38,2.58,5.41,,19.6,0,7.7,135345
Developing,53,38,2.16,5.62,,19,0,7.4,132122
Developing,52.8,35,2.47,5.84,,18.5,0,7.1,1293523
Developing,52.5,32,2.55,5.4,,17.9,0,6.7,1267512
Developing,52.1,3,2.84,4.94,,17.4,0,6.4,1243229
Developing,66.2,215,,,95,46.7,0.638,10.3,768514
Developing,66,217,7.64,5.25,98,45.9,0.636,10.3,763393
Developing,65.9,218,7.56,5.1,98,45,0.633,10.3,75881
Developing,65.8,22,7.57,6.57,97,44.1,0.63,10.6,75391
Developing,65.6,229,7.56,6.8,93,43.2,0.624,10.3,7491
Developing,65.9,221,7.52,6.6,95,42.4,0.618,10.2,746556
Developing,66.1,218,7.49,7.32,98,41.6,0.618,10.5,745693
Developing,66.3,218,7.32,7.46,93,4.9,0.618,10.7,746314
Developing,65.7,232,7.2,6.45,94,4.3,0.62,11.2,747869
Developing,65.2,24,7.04,4.67,93,39.6,0.622,11.7,74961
Developing,65,238,7.35,5.83,93,39,0.619,11.4,75946
Developing,65.1,237,7.84,5.73,91,38.4,0.613,11.2,751652
Developing,65.3,237,7.93,5.97,9,37.8,0.611,11.1,751857
Developing,65.3,244,7.73,5.84,91,37.1,0.609,11,751884
Developing,65.4,247,6.71,5.82,85,36.4,0.606,10.9,752263
Developing,65.4,246,6.63,5.85,,35.7,0.602,10.9,75331
Developing,63.5,24,,,6,49.9,0.49,9.1,171161
Developing,63.1,245,0.01,7.56,48,48.8,0.487,9.1,1572466
Developing,62.7,253,5.68,8.1,68,47.7,0.483,9.1,1431776
Developing,62.3,259,5.68,9.88,,46.5,0.477,8.9,128921
Developing,62.3,259,5.68,1.41,,45.3,0.47,8.7,114554
Developing,36.3,682,5.76,8.9,,44.2,0.47,8.6,9999617
Developing,62.5,251,5.85,6.68,,43,0.466,8.5,985287
Developing,62.1,259,5.95,5.92,,41.8,0.462,8.4,97529
Developing,61.8,266,6.08,5.56,,4.7,0.458,8.4,9556889
Developing,61.1,28,6.18,5.7,,39.6,0.455,8.3,949457
Developing,65,29,5.57,4.41,,38.5,0.452,8.2,926344
Developing,58.7,32,6.1,5.61,,37.5,0.45,8.1,9119178
Developing,59.7,3,6.64,5.32,,36.5,0.447,8.1,8976552
Developing,59.3,33,6.1,5.47,,35.6,0.444,8,8834733
Developing,58.9,35,6.22,5.63,,34.8,0.443,7.9,8692567
Developing,58.6,35,4.79,6.6,,34,0.439,7.8,85492
Developing,74.6,147,,,97,51,0.623,11.2,896829
Developing,74.5,149,2.87,8.72,97,5.2,0.618,11.4,889216
Developing,74.3,15,3.11,9.15,97,49.3,0.614,11.6,8657785
Developing,74.1,151,3.11,9.78,97,48.4,0.614,11.6,855646
Developing,73.9,153,3.1,8.57,97,47.6,0.611,11.7,83516
Developing,73.6,156,3.1,8.45,97,46.8,0.606,11.5,8194778
Developing,73.4,157,3.08,8.84,97,45.9,0.603,11.3,83521
Developing,73.2,159,3.14,8.4,92,45.1,0.597,11.1,7872658
Developing,73,16,3.16,7.89,93,44.3,0.59,10.9,777972
Developing,72.8,161,3.23,7.63,94,43.5,0.583,10.8,754146
Developing,72.5,163,3.23,7.81,97,42.8,0.577,10.6,737343
Developing,72.2,165,3.02,7.89,93,42,0.571,10.4,724153
Developing,71.9,166,3.04,8.29,91,41.2,0.566,10.3,733821
Developing,71.6,169,3.09,7.28,94,4.4,0.561,10.1,6863157
Developing,71.3,171,2.74,6.88,95,39.6,0.557,9.9,669361
Developing,71,174,2.61,6.63,93,38.8,0.551,9.8,6524283
Developed,75.8,134,,,,64.8,0.834,15.6,984328
Developed,75.6,137,0.01,7.4,,64.2,0.834,15.8,9866468
Developed,75.5,139,10.88,7.53,,63.6,0.824,15.4,989382
Developed,75,146,11.27,7.74,,63,0.823,15.4,992362
Developed,74.8,15,11.51,7.84,,62.4,0.821,15.4,9971727
Developed,74.5,156,10.78,7.85,,61.7,0.817,15.3,123
Developed,74.2,162,11.46,7.55,,61.1,0.816,15.3,12265
Developed,74.1,165,11.64,7.33,,6.5,0.812,15.3,138188
Developed,73.5,176,12.55,7.51,,59.9,0.809,15.3,15578
Developed,73.4,177,13.16,8.1,,59.3,0.802,15.2,17137
Developed,72.9,182,12.94,8.28,,58.8,0.795,15,18765
Developed,72.9,18,13.28,8.8,,58.2,0.793,15.3,117146
Developed,72.5,184,13.24,8.42,,57.6,0.784,14.9,1129552
Developed,72.5,184,13.29,7.47,,57.1,0.775,14.6,115868
Developed,72.3,185,13.18,7.11,,56.6,0.769,14.2,1187576
Developed,71.7,193,12.22,7.6,,56.1,0.761,13.9,121971
Developed,82.7,49,,,,61,0.919,19,33815
Developed,82.5,49,7.45,8.86,,6.6,0.915,19,327386
Developed,82.4,5,7.31,8.75,,6.2,0.907,19,323764
Developed,82.5,5,7.81,8.68,,59.7,0.901,18.7,32716
Developed,82.1,51,8.13,8.65,,59.3,0.894,18.6,31914
Developed,81.8,53,8.25,8.86,,58.9,0.894,18.4,31841
Developed,81.6,55,10.22,9.12,,58.5,0.894,18.4,318499
Developed,81.4,58,8.49,8.8,,58.1,0.892,18.2,317414
Developed,81.3,59,7.53,8.75,,57.8,0.887,18.2,311566
Developed,81.1,61,7.2,8.96,,57.4,0.884,18.1,33782
Developed,81,62,7.05,9.21,,56.9,0.879,17.9,296734
Developed,88,65,6.79,9.59,,56.5,0.873,18.3,29274
Developed,87,65,6.61,1.7,,55.9,0.866,17.6,289521
Developed,84,7,6.61,9.86,,55.4,0.859,17.2,287523
Developed,80,72,6.37,9.12,,54.8,0.854,17.1,284968
Developed,79.7,74,6.17,9.28,,54.2,0.847,16.8,28125
Developing,68.3,181,,,87,18.7,0.615,11.6,1395398
Developing,68,184,3.07,4.69,79,18.1,0.607,11.6,1293859294
Developing,67.6,187,3.11,4.53,7,17.5,0.599,11.5,127856227
Developing,67.3,19,3.1,4.39,73,17,0.59,11.3,126365852
Developing,66.8,193,3,4.33,44,16.4,0.58,10.8,124723629
Developing,66.4,196,2.77,4.28,38,15.9,0.569,10.4,12398691
Developing,66,2,2.5,4.38,37,15.4,0.563,10.5,121427132
Developing,65.5,23,1.93,4.34,29,14.9,0.556,10.2,119714696
Developing,65.2,26,1.59,4.23,6,14.4,0.546,9.9,1179681239
Developing,64.8,28,1.37,4.25,6,13.9,0.536,9.7,1161977719
Developing,64.4,211,1.27,4.28,8,13.5,0.526,9.4,1144118674
Developing,64,214,1.2,4.22,6,13,0.518,9.2,1126135777
Developing,63.7,216,1.19,4.3,,12.6,0.505,8.6,11827848
Developing,63.3,219,1.1,4.4,,12.2,0.499,8.4,18987112
Developing,62.9,222,1,4.5,,11.8,0.494,8.3,171477855
Developing,62.5,224,0.93,4.26,,11.4,0.489,8.3,1535912
Developing,69.1,176,,,78,27.4,0.686,12.9,258162113
Developing,68.9,179,0.09,2.85,78,26.5,0.682,12.9,255131116
Developing,68.7,181,0.09,2.93,85,25.6,0.677,12.9,25232263
Developing,68.5,183,0.08,2.9,83,24.7,0.669,12.6,248883232
Developing,68.3,185,0.08,2.71,81,23.8,0.662,12.3,24577511
Developing,68.1,187,0.08,2.74,83,22.9,0.656,12.1,242524123
Developing,67.9,189,0.08,2.83,82,22.1,0.645,11.7,23934478
Developing,67.7,189,0.07,2.81,82,21.3,0.641,11.7,236159276
Developing,67.5,19,0.06,3.1,76,2.5,0.638,11,232989141
Developing,67.3,191,0.06,2.91,66,19.7,0.632,10.9,22983822
Developing,67.2,19,0.06,2.79,65,19,0.629,11.1,22671273
Developing,65.3,213,0.06,2.37,64,18.2,0.624,11,223614649
Developing,66.9,189,0.05,2.53,64,17.5,0.613,10.8,22545214
Developing,66.7,189,0.05,2.27,63,16.7,0.608,10.6,2175859
Developing,66.5,188,0.06,2.23,62,16,0.604,10.6,2145652
Developing,66.3,188,0.06,1.98,65,15.4,0.597,10.7,21154429
Developing,75.5,83,,,98,59.7,0.774,14.8,
Developing,75.4,83,0.01,6.89,99,58.5,0.77,14.9,
Developing,75.3,83,0.01,6.49,99,57.2,0.769,15,
Developing,75.1,85,0.01,6.98,98,56,0.755,13.6,
Developing,74.7,93,0.03,7.12,99,54.8,0.745,13.1,
Developing,74.1,16,0.03,8.2,99,53.6,0.735,12.9,
Developing,73.3,122,0.03,7.63,99,52.5,0.728,12.8,
Developing,72.7,135,0.02,6.28,99,51.4,0.716,12.1,
Developing,72.4,138,0.02,5.84,97,5.4,0.704,11.8,
Developing,72.2,139,0.02,5.95,98,49.4,0.692,11.4,
Developing,72,139,0.01,6.6,94,48.5,0.687,11.4,
Developing,71.8,139,0.01,5.89,95,47.6,0.686,11.8,
Developing,75,154,0.01,5.42,98,46.9,0.679,11.8,
Developing,71.2,142,0.01,5.39,99,46.2,0.674,11.9,
Developing,78,146,0.01,5.2,94,45.5,0.666,11.6,
Developing,73,15,0.01,4.47,99,44.9,0.66,11.6,
Developing,68.9,182,,,56,59.1,0.649,10.1,36115649
Developing,67.9,199,0.01,5.54,62,58.5,0.658,10.1,3568
Developing,69.5,17,0.01,5.92,66,57.8,0.659,10.3,33883145
Developing,76,147,0.01,5.26,61,57.2,0.656,10.5,32776571
Developing,77,144,0.17,3.32,77,56.5,0.649,10.4,3172753
Developing,76,145,0.19,3.82,72,55.8,0.646,10.4,376271
Developing,74,148,0.2,4.65,75,55.2,0.643,10.3,29894652
Developing,69.3,167,0.17,3.93,66,54.5,0.638,10.3,29111417
Developing,65.9,227,0.14,3.69,56,53.8,0.636,10.2,2839433
Developing,64.7,249,0.03,3,59,53.2,0.631,10.2,27697912
Developing,66.8,29,0.18,4.13,65,52.5,0.628,10.1,278426
Developing,67.2,21,0.32,5.61,62,51.9,0.603,9.8,2631669
Developing,66.5,213,0.07,4.36,63,51.3,0.616,9.4,25627626
Developing,74,14,0.15,,65,5.6,0.614,9.1,24939299
Developing,72,142,0.17,,66,5.1,0.607,8.7,24251649
Developing,70,144,0.2,,67,49.5,0.603,8.6,23565413
Developed,81.4,64,,,95,62.8,0.92,18.6,4676835
Developed,81.2,66,10.75,7.78,95,62.1,0.91,18.6,4617225
Developed,81,67,10.49,8.1,95,61.3,0.902,18.6,4598294
Developed,85,69,11.49,8.32,95,6.5,0.895,18.5,4586897
Developed,84,7,11.72,8.15,95,59.7,0.909,18.5,4576794
Developed,86,68,11.88,8.76,46,58.9,0.907,18.2,456155
